Gender,Age,Dur,PPV
Male,24,18,14.02
Male,24,19,14.59
Male,24,20,15.15
Male,24,21,15.69
Male,24,22,16.2
Male,24,23,16.7
Male,24,24,17.19
Male,24,25,17.66
Male,24,26,18.11
Male,24,27,18.55
Male,24,28,18.97
Male,24,29,19.38
Male,24,30,19.77
Male,24,31,20.14
Male,24,32,20.52
Male,24,33,20.86
Male,24,34,21.19
Male,24,35,21.52
Male,24,36,21.83
Male,24,37,22.12
Male,24,38,22.4
Male,24,39,22.67
Male,24,40,22.92
Male,24,41,23.17
Male,24,42,23.39
Male,24,43,23.61
Male,24,44,23.81
Male,24,45,24.02
Male,24,46,24.19
Male,24,47,24.36
Male,24,48,24.52
Male,24,49,24.66
Male,24,50,24.8
Male,25,1,1.0
Male,25,2,1.97
Male,25,3,2.91
Male,25,4,3.822
Male,25,5,4.707
Male,25,6,5.562
Male,25,7,6.395
Male,25,8,7.2
Male,25,9,7.98
Male,25,10,8.74
Male,25,11,9.48
Male,25,12,10.19
Male,25,13,10.875
Male,25,14,11.55
Male,25,15,12.195
Male,25,16,12.82
Male,25,17,13.43
Male,25,18,14.02
Male,25,19,14.59
Male,25,20,15.15
Male,25,21,15.68
Male,25,22,16.2
Male,25,23,16.7
Male,25,24,17.17
Male,25,25,17.64
Male,25,26,18.1
Male,25,27,18.53
Male,25,28,18.95
Male,25,29,19.36
Male,25,30,19.75
Male,25,31,20.12
Male,25,32,20.48
Male,25,33,20.83
Male,25,34,21.16
Male,25,35,21.47
Male,25,36,21.78
Male,25,37,22.06
Male,25,38,22.34
Male,25,39,22.61
Male,25,40,22.86
Male,25,41,23.1
Male,25,42,23.33
Male,25,43,23.53
Male,25,44,23.73
Male,25,45,23.92
Male,25,46,24.1
Male,25,47,24.25
Male,25,48,24.4
Male,25,49,24.55
Male,25,50,24.67
Male,26,1,1.0
Male,26,2,1.97
Male,26,3,2.91
Male,26,4,3.822
Male,26,5,4.707
Male,26,6,5.562
Male,26,7,6.395
Male,26,8,7.2
Male,26,9,7.98
Male,26,10,8.74
Male,26,11,9.48
Male,26,12,10.19
Male,26,13,10.875
Male,26,14,11.55
Male,26,15,12.195
Male,26,16,12.82
Male,26,17,13.43
Male,26,18,14.016
Male,26,19,14.586
Male,26,20,15.14
Male,26,21,15.67
Male,26,22,16.19
Male,26,23,16.69
Male,26,24,17.17
Male,26,25,17.62
Male,26,26,18.08
Male,26,27,18.52
Male,26,28,18.92
Male,26,29,19.33
Male,26,30,19.72
Male,26,31,20.1
Male,26,32,20.44
Male,26,33,20.78
Male,26,34,21.11
Male,26,35,21.42
Male,26,36,21.73
Male,26,37,22.02
Male,26,38,22.28
Male,26,39,22.55
Male,26,40,22.78
Male,26,41,23.02
Male,26,42,23.23
Male,26,43,23.44
Male,26,44,23.64
Male,26,45,23.81
Male,26,46,23.98
Male,26,47,24.14
Male,26,48,24.28
Male,26,49,24.4
Male,26,50,24.53
Male,27,1,1.0
Male,27,2,1.97
Male,27,3,2.91
Male,27,4,3.822
Male,27,5,4.707
Male,27,6,5.562
Male,27,7,6.395
Male,27,8,7.2
Male,27,9,7.98
Male,27,10,8.74
Male,27,11,9.48
Male,27,12,10.19
Male,27,13,10.875
Male,27,14,11.54
Male,27,15,12.19
Male,27,16,12.82
Male,27,17,13.42
Male,27,18,14.01
Male,27,19,14.58
Male,27,20,15.13
Male,27,21,15.664
Male,27,22,16.17
Male,27,23,16.67
Male,27,24,17.16
Male,27,25,17.61
Male,27,26,18.06
Male,27,27,18.48
Male,27,28,18.9
Male,27,29,19.3
Male,27,30,19.69
Male,27,31,20.05
Male,27,32,20.4
Male,27,33,20.75
Male,27,34,21.06
Male,27,35,21.38
Male,27,36,21.67
Male,27,37,21.95
Male,27,38,22.22
Male,27,39,22.47
Male,27,40,22.7
Male,27,41,22.94
Male,27,42,23.14
Male,27,43,23.34
Male,27,44,23.53
Male,27,45,23.7
Male,27,46,23.86
Male,27,47,24.0
Male,27,48,24.14
Male,27,49,24.27
Male,27,50,24.38
Male,28,1,1.0
Male,28,2,1.97
Male,28,3,2.91
Male,28,4,3.822
Male,28,5,4.707
Male,28,6,5.562
Male,28,7,6.395
Male,28,8,7.2
Male,28,9,7.98
Male,28,10,8.734
Male,28,11,9.47
Male,28,12,10.18
Male,28,13,10.875
Male,28,14,11.54
Male,28,15,12.19
Male,28,16,12.81
Male,28,17,13.42
Male,28,18,14.01
Male,28,19,14.57
Male,28,20,15.12
Male,28,21,15.65
Male,28,22,16.16
Male,28,23,16.66
Male,28,24,17.14
Male,28,25,17.6
Male,28,26,18.03
Male,28,27,18.47
Male,28,28,18.88
Male,28,29,19.27
Male,28,30,19.64
Male,28,31,20.02
Male,28,32,20.36
Male,28,33,20.69
Male,28,34,21.02
Male,28,35,21.31
Male,28,36,21.61
Male,28,37,21.88
Male,28,38,22.14
Male,28,39,22.39
Male,28,40,22.62
Male,28,41,22.83
Male,28,42,23.05
Male,28,43,23.23
Male,28,44,23.4
Male,28,45,23.58
Male,28,46,23.72
Male,28,47,23.86
Male,28,48,23.98
Male,28,49,24.1
Male,28,50,24.2
Male,29,1,1.0
Male,29,2,1.97
Male,29,3,2.91
Male,29,4,3.822
